Tahun,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023,2024,2024,2024,2025
Uaraian,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target
ii. Penerimaan SDA NonMigas,5801.10,6705.30,115.59,5906.40,9387.60,158.94,7334.40,8108.90,110.56,9842.60,12846.00,130.51,10905.20,13207.30,121.11,13006.90,16092.20,123.72,18808.80,20332.80,108.10,18847.80,20020.50,106.22,23119.60,22776.80,98.52,29446.40,23972.20,81.41,37554.20,22801.40,60.72,21836.30,20808.20,95.29,23435.30,29289.10,124.98,23325.80,37803.40,162.07,30976.50,33800.00,109.11,25792.00,28144.90,109.12,29109.10,52873.00,181.64,87420.10,120072.00,137.35,64806.00,138024.50,212.98,114033.69,118303.91,103.74,96971.16
a) Pendapatan Pertambangan Mineral dan Batubara,2751.10,3190.50,115.97,3482.20,6781.30,194.74,4843.30,5877.90,121.36,6867.80,9511.30,138.49,8720.20,10369.40,118.91,9738.00,12646.80,129.87,15394.50,16369.80,106.34,15274.10,15877.40,103.95,18099.00,18620.50,102.88,23599.70,19300.40,81.78,31678.50,17683.00,55.82,16539.90,15756.80,95.27,17858.50,23763.20,133.06,17858.50,30313.70,169.74,24960.70,26335.00,105.51,19351.50,21179.00,109.44,22100.50,44835.40,202.87,78871.30,110786.80,140.47,54030.10,129126.80,238.99,102056.70,107775.03,105.60,87482.12
b) Pendapatan Kehutanan,2650.00,3249.40,122.62,2010.00,2409.40,119.87,2291.10,2114.80,92.31,2774.80,2315.50,83.45,1715.00,2345.40,136.76,2874.40,3009.70,104.71,2908.10,3216.50,110.60,3074.90,3188.30,103.69,4254.00,3060.40,71.94,5017.00,3699.90,73.75,4713.30,4156.50,88.19,3972.70,3757.00,94.57,3955.50,4101.90,103.70,4166.70,4760.40,114.25,4511.50,5035.00,111.60,4197.20,4403.30,104.91,4613.30,5400.30,117.06,5241.20,5804.10,110.74,5161.70,5429.60,105.19,6000.00,6739.01,112.32,5671.73
c) Pendapatan Perikanan,400.00,265.40,66.35,414.10,196.90,47.55,200.00,116.30,58.15,200.00,77.80,38.90,150.00,92.00,61.33,150.00,92.00,61.33,150.00,183.80,122.53,150.00,215.80,143.87,250.00,229.40,91.76,250.00,216.40,86.56,578.80,79.30,13.70,693.00,362.10,52.25,950.00,491.00,51.68,600.00,448.80,74.80,625.80,500.00,79.90,900.40,600.70,66.71,957.20,708.20,73.99,1686.60,1192.90,70.73,3500.00,636.90,18.20,3500.00,951.82,27.19,1627.60
d) Pendapatan Pertambangan Panas Bumi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,941.4,0,320,400.4,125.13,244.4,343.8,140.67,356.1,562.7,158.02,348.8,739,211.87,516.7,866.6,167.72,579.7,755.5,130.33,583.7,882.7,151.22,630.7,932.3,147.82,671.3,933,138.98,700.6,"2,280.60",325.52,878.4,"1,930.00",219.72,"1,342.90","1,962.00",146.1,"1,438.10","1,929.10",134.14,"1,621.10","2,288.20",141.15,"2,114.20","2,831.20",133.91,"2,476.98","2,838.06",114.58,"2,189.70"
b. Pendapatan dari Kekayaan Negara Dipisahkan,12000.00,12835.20,106.96,22322.50,21450.60,96.09,21800.00,23222.50,106.53,"31,244.30","29,088.40",93.1,"28,614.70","26,049.50",91.04,"29,500.00","30,096.90",102.02,"28,835.80","28,184.00",97.74,"30,776.30","30,798.00",100.07,"36,456.50","34,025.60",93.33,"40,000.00","40,314.40",100.79,"36,956.50","37,643.70",101.86,"34,164.00","37,133.20",108.69,"41,000.00","43,904.20",107.08,"44,695.40","45,060.50",100.82,"45,589.30","80,700.00",177.02,"65,000.00","66,080.50",101.66,"26,130.50","30,496.80",116.71,"37,089.80","40,597.10",109.46,"49,100.00","82,058.70",167.13,"85,845.47","86,386.88",100.63,"90,000.00"
c. Pendapatan PNBP Lainnya,24336.10,23585.90,96.92,41811.90,38025.70,90.94,61400.40,59004.60,96.1,"58,780.70","67,053.30",114.07,"44,878.70","53,796.10",119.87,"43,462.80","59,428.60",136.73,"50,339.40","69,360.50",137.79,"72,799.40","73,458.50",100.91,"85,471.50","69,671.90",81.51,"84,968.40","87,746.80",103.27,"90,109.60","81,697.40",90.66,"84,124.00","117,995.40",140.26,"85,057.60","108,834.60",127.95,"83,753.10","128,574.00",153.52,"94,069.30","124,500.00",132.35,"100,053.80","111,200.30",111.14,"109,174.70","152,504.00",139.69,"112,221.70","196,324.30",174.94,"113,300.00","180,415.10",159.24,"147,338.52","163,609.90",111.04,"127,741.39"
d. Pendapatan Badan Layanan Umum,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,"5,890.90","8,369.50",142.08,"9,486.90","10,590.80",111.64,"15,416.00","20,104.00",130.41,"20,408.00","21,704.30",106.35,"23,498.70","24,648.20",104.89,"20,863.40","29,681.00",142.26,"23,090.20","35,315.50",152.95,"36,271.20","41,945.90",115.65,"38,541.40","47,345.40",122.84,"43,304.60","55,093.10",127.22,"47,884.50","48,900.00",102.12,"50,000.30","69,308.30",138.62,"58,790.10","126,002.80",214.33,"105,801.10","89,902.30",84.97,"83,016.40","95,860.40",115.47,"80,430.96","100,303.51",124.71,"77,929.47"
e. Surplus Bank Indonesia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"456,355.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
II. Penerimaan Hibah,7455.10,1304.80,17.50,4232.90,1834.10,43.33,3823.30,1697.70,44.4,"2,948.60","2,304.00",78.14,"1,006.50","1,666.60",165.58,"1,896.50","3,023.00",159.4,"4,662.10","5,253.90",112.69,825.1,"5,786.70",701.33,"4,483.60","6,832.50",152.39,"2,325.10","5,034.50",216.53,"3,311.90","11,973.00",361.51,"1,975.20","8,987.70",455.03,"3,108.10","11,629.80",374.18,"1,196.90","15,564.90","1,300.43",435.3,"5,500.00","1,263.50","1,300.00","18,832.80","1,448.68",902.8,"5,013.00",555.27,579.9,"5,696.10",982.26,409.4,"17,184.20","4,197.41","34,923.60","30,290.92",86.73,581.1
